Number of centers,Number of gas stations,Initial solution type,profits,execution time OF THE INITIAL STATE CREATION
67,100,complex,122796,1.183E-4
68,100,empty,122704,0.0
68,100,simple,107676,7.3E-5
68,100,complex,122808,1.281E-4
69,100,empty,122772,0.0
69,100,simple,107676,7.33E-5
69,100,complex,122876,1.265E-4
70,100,empty,122808,0.0
70,100,simple,107696,7.46E-5
70,100,complex,122912,1.248E-4
71,100,empty,122816,0.0
71,100,simple,107720,7.43E-5
71,100,complex,122920,1.256E-4
72,100,empty,122832,0.0
72,100,simple,107720,7.51E-5
72,100,complex,122936,1.355E-4
73,100,empty,122836,0.0
73,100,simple,107792,7.59E-5
73,100,complex,122940,1.33E-4
74,100,empty,122836,0.0
74,100,simple,107792,7.71E-5
74,100,complex,122940,1.334E-4
75,100,empty,122836,0.0
75,100,simple,107792,7.72E-5
75,100,complex,122940,1.341E-4
76,100,empty,122908,0.0
76,100,simple,107796,7.88E-5
76,100,complex,123012,1.264E-4
77,100,empty,122908,0.0
77,100,simple,107796,7.93E-5
77,100,complex,123012,1.39E-4
78,100,empty,122928,0.0
78,100,simple,107796,7.98E-5
78,100,complex,123032,1.352E-4
79,100,empty,122928,0.0
79,100,simple,107840,7.99E-5
79,100,complex,123032,1.418E-4
80,100,empty,122952,0.0
80,100,simple,107840,8.16E-5
80,100,complex,123056,1.398E-4
81,100,empty,122996,0.0
81,100,simple,107844,8.24E-5
81,100,complex,123100,1.424E-4
82,100,empty,123028,0.0
82,100,simple,107844,8.34E-5
82,100,complex,123132,1.423E-4
83,100,empty,123028,0.0
83,100,simple,107844,8.5E-5
83,100,complex,123132,1.372E-4
84,100,empty,123028,0.0
84,100,simple,107844,8.47E-5
84,100,complex,123132,1.429E-4
85,100,empty,123036,0.0
85,100,simple,107868,8.68E-5
85,100,complex,123140,1.417E-4
86,100,empty,123044,0.0
86,100,simple,107868,8.87E-5
86,100,complex,123148,1.652E-4
87,100,empty,123096,0.0
87,100,simple,107868,8.9E-5
87,100,complex,123160,1.448E-4
88,100,empty,123104,0.0
88,100,simple,107868,8.99E-5
88,100,complex,123168,1.466E-4
89,100,empty,123124,0.0
89,100,simple,107888,9.83E-5
89,100,complex,123188,1.578E-4
90,100,empty,123152,0.0
90,100,simple,107888,9.03E-5
90,100,complex,123216,1.495E-4
91,100,empty,123164,0.0
91,100,simple,107888,9.19E-5
91,100,complex,123228,1.509E-4
92,100,empty,123244,0.0
92,100,simple,108208,9.16E-5
92,100,complex,123252,1.56101E-4
93,100,empty,123248,0.0
93,100,simple,108208,9.18E-5
93,100,complex,123256,1.56501E-4
94,100,empty,123260,0.0
94,100,simple,108208,9.3101E-5
94,100,complex,123268,1.565E-4
95,100,empty,123284,0.0
95,100,simple,108208,9.4001E-5
95,100,complex,123320,1.57399E-4
96,100,empty,123284,0.0
96,100,simple,108208,9.6499E-5
96,100,complex,123320,1.571E-4
97,100,empty,123284,0.0
97,100,simple,108208,9.74E-5
97,100,complex,123320,1.69399E-4
98,100,empty,123356,0.0
98,100,simple,108240,9.61E-5
98,100,complex,123392,1.626E-4
99,100,empty,123356,0.0
99,100,simple,108240,1.005E-4
99,100,complex,123392,1.926E-4
100,100,empty,123380,0.0
100,100,simple,108240,1.069E-4
100,100,complex,123416,1.306E-4
100,2,empty,3000,0.0
100,2,simple,2956,3.999E-6
100,2,complex,3000,1.9199E-5
100,3,empty,5040,0.0
100,3,simple,4980,4.599E-6
100,3,complex,5040,1.5E-6
100,4,empty,5040,0.0
100,4,simple,4980,6.0E-6
100,4,complex,5040,1.5E-6
100,5,empty,7080,0.0
100,5,simple,6996,6.9E-6
100,5,complex,7080,1.899E-6
100,6,empty,9120,0.0
100,6,simple,7580,8.1E-6
100,6,complex,9120,2.6E-6
100,7,empty,10080,0.0
100,7,simple,8540,8.101E-6
100,7,complex,10080,1.999E-6
100,8,empty,11100,0.0
100,8,simple,9560,9.8E-6
100,8,complex,11100,1.701E-6
100,9,empty,12060,0.0
100,9,simple,10520,1.04E-5
100,9,complex,12060,1.701E-6
100,10,empty,13080,0.0
100,10,simple,11540,1.14E-5
100,10,complex,13080,1.899E-6
100,11,empty,14040,0.0
100,11,simple,12500,1.2099E-5
100,11,complex,14040,1.799E-6
100,12,empty,15000,0.0
100,12,simple,13460,1.2901E-5
100,12,complex,15000,1.8E-6
100,13,empty,16880,0.0
100,13,simple,14864,1.43E-5
100,13,complex,16880,7.02E-5
100,14,empty,17900,0.0
100,14,simple,15884,1.54E-5
100,14,complex,17900,6.5E-6
100,15,empty,18920,0.0
100,15,simple,16904,1.7E-5
100,15,complex,18920,6.6E-6
100,16,empty,19940,0.0
100,16,simple,17924,1.76E-5
100,16,complex,19940,6.399E-6
100,17,empty,20860,0.0
100,17,simple,18096,1.85E-5
100,17,complex,20860,5.99E-5
100,18,empty,21780,0.0
100,18,simple,19016,1.97E-5
100,18,complex,21780,1.1201E-5
100,19,empty,23740,0.0
100,19,simple,20956,2.04E-5
100,19,complex,23740,1.2301E-5
100,20,empty,24660,0.0
100,20,simple,21876,2.23E-5
100,20,complex,24660,1.42E-5
100,21,empty,25680,0.0
100,21,simple,22896,2.29E-5
100,21,complex,25680,1.35E-5
100,22,empty,26700,0.0
100,22,simple,23916,2.32E-5
100,22,complex,26700,1.41E-5
100,23,empty,28680,0.0
100,23,simple,25884,2.5001E-5
100,23,complex,28680,1.39E-5
100,24,empty,29660,0.0
100,24,simple,26864,2.52E-5
100,24,complex,29660,1.49E-5
100,25,empty,30680,0.0
100,25,simple,27884,2.69E-5
100,25,complex,30680,1.42E-5
100,26,empty,32680,0.0
100,26,simple,28808,2.8401E-5
100,26,complex,32680,1.3399E-5
100,27,empty,34680,0.0
100,27,simple,31224,2.8299E-5
100,27,complex,34680,9.23E-5
100,28,empty,35660,0.0
100,28,simple,32204,2.9099E-5
100,28,complex,35660,1.44E-5
100,29,empty,35660,0.0
100,29,simple,32204,3.03E-5
100,29,complex,35660,1.39E-5
100,30,empty,36620,0.0
100,30,simple,33164,3.01E-5
100,30,complex,36620,1.34E-5
100,31,empty,38580,0.0
100,31,simple,34396,3.19E-5
100,31,complex,38580,1.4899E-5
100,32,empty,39540,0.0
100,32,simple,35356,3.32E-5
100,32,complex,39540,1.4601E-5
100,33,empty,40496,0.0
100,33,simple,36204,3.3601E-5
100,33,complex,40496,1.46E-5
100,34,empty,42516,0.0
100,34,simple,37720,3.51E-5
100,34,complex,42516,1.3901E-5
100,35,empty,44524,0.0
100,35,simple,39684,4.0901E-5
100,35,complex,44524,1.45E-5
100,36,empty,46484,0.0
100,36,simple,41590,3.68E-5
100,36,complex,46484,1.4201E-5
100,37,empty,48452,0.0
100,37,simple,43744,3.79E-5
100,37,complex,48452,1.48E-5
100,38,empty,50488,0.0
100,38,simple,45764,4.0001E-5
100,38,complex,50488,1.42E-5
100,39,empty,51484,0.0
100,39,simple,46220,4.0901E-5
100,39,complex,51484,1.41E-5
100,40,empty,51484,0.0
100,40,simple,46220,4.0899E-5
100,40,complex,51484,1.49E-5
100,41,empty,52432,0.0
100,41,simple,47168,4.1999E-5
100,41,complex,52432,1.5899E-5
100,42,empty,54320,0.0
100,42,simple,49044,4.2901E-5
100,42,complex,54320,1.7901E-5
100,43,empty,55332,0.0
100,43,simple,50056,4.4E-5
100,43,complex,55332,1.68E-5
100,44,empty,56276,0.0
100,44,simple,51000,4.48E-5
100,44,complex,56276,1.436E-4
100,45,empty,58244,0.0
100,45,simple,52932,4.61E-5
100,45,complex,58244,1.8201E-5
100,46,empty,60164,0.0
100,46,simple,54812,4.7499E-5
100,46,complex,60164,1.7399E-5
100,47,empty,62120,0.0
100,47,simple,56396,5.17E-5
100,47,complex,62120,1.7299E-5
100,48,empty,63080,0.0
100,48,simple,56542,4.9399E-5
100,48,complex,63080,1.73E-5
100,49,empty,65036,0.0
100,49,simple,58478,4.98E-5
100,49,complex,65036,1.6601E-5
100,50,empty,66020,0.0
100,50,simple,58440,5.2E-5
100,50,complex,66020,1.72E-5
100,51,empty,67020,0.0
100,51,simple,59348,5.15E-5
100,51,complex,67020,1.78E-5
100,52,empty,67984,0.0
100,52,simple,60312,5.28E-5
100,52,complex,67984,1.76E-5
100,53,empty,68904,0.0
100,53,simple,60792,5.44E-5
100,53,complex,68904,1.7799E-5
100,54,empty,70940,0.0
100,54,simple,63112,5.63E-5
100,54,complex,70940,1.69E-5
100,55,empty,71900,0.0
100,55,simple,64072,5.69E-5
100,55,complex,71900,1.76E-5
100,56,empty,73872,0.0
100,56,simple,65464,5.8601E-5
100,56,complex,73872,1.7801E-5
100,57,empty,74840,0.0
100,57,simple,66432,5.87E-5
100,57,complex,74840,1.32899E-4
100,58,empty,75732,0.0
100,58,simple,66908,5.9599E-5
100,58,complex,75732,2.12E-5
100,59,empty,77764,0.0
100,59,simple,68660,6.55E-5
100,59,complex,77764,2.0E-5
100,60,empty,78768,0.0
100,60,simple,69664,6.18E-5
100,60,complex,78768,1.9901E-5
100,61,empty,79748,0.0
100,61,simple,70644,6.22E-5
100,61,complex,79748,1.91E-5
100,62,empty,81696,0.0
100,62,simple,73436,6.35E-5
100,62,complex,81696,1.9E-5
100,63,empty,82676,0.0
100,63,simple,74068,6.55E-5
100,63,complex,82676,1.9199E-5
100,64,empty,83592,0.0
100,64,simple,74984,7.1401E-5
100,64,complex,83592,2.19E-5
100,65,empty,84596,0.0
100,65,simple,74928,6.63E-5
100,65,complex,84596,2.26E-5
100,66,empty,85500,0.0
100,66,simple,75328,6.78E-5
