Segons nombre centres,,,,,,,,,,Segons nombre gasolineres,,,,
Number of centers,Number of gas stations,Initial solution type,profits,execution time OF THE INITIAL STATE CREATION,,,,,,Number of centers,Number of gas stations,Initial solution type,profits,execution time OF THE INITIAL STATE CREATION
30,100,complex,121044,8.59E-05,,,,,,100,30,complex,36620,1.34E-05
31,100,empty,120996,0,,,,,,100,31,empty,38580,0
31,100,simple,105396,2.02E-04,,,,,,100,31,simple,34396,3.19E-05
31,100,complex,121100,8.15E-05,,,,,,100,31,complex,38580,1.49E-05
32,100,empty,121284,0,,,,,,100,32,empty,39540,0
32,100,simple,105396,2.09E-04,,,,,,100,32,simple,35356,3.32E-05
32,100,complex,121436,8.53E-05,,,,,,100,32,complex,39540,1.46E-05
33,100,empty,121284,0,,,,,,100,33,empty,40496,0
33,100,simple,105396,2.16E-04,,,,,,100,33,simple,36204,3.36E-05
33,100,complex,121436,9.36E-05,,,,,,100,33,complex,40496,1.46E-05
34,100,empty,121576,0,,,,,,100,34,empty,42516,0
34,100,simple,106140,2.36E-04,,,,,,100,34,simple,37720,3.51E-05
34,100,complex,121740,8.85E-05,,,,,,100,34,complex,42516,1.39E-05
35,100,empty,121616,0,,,,,,100,35,empty,44524,0
35,100,simple,106192,2.27E-04,,,,,,100,35,simple,39684,4.09E-05
35,100,complex,121812,9.00E-05,,,,,,100,35,complex,44524,1.45E-05
36,100,empty,121716,0,,,,,,100,36,empty,46484,0
36,100,simple,106492,2.51E-04,,,,,,100,36,simple,41590,3.68E-05
36,100,complex,121856,8.97E-05,,,,,,100,36,complex,46484,1.42E-05
37,100,empty,121736,0,,,,,,100,37,empty,48452,0
37,100,simple,106600,7.33E-05,,,,,,100,37,simple,43744,3.79E-05
37,100,complex,121876,1.00E-04,,,,,,100,37,complex,48452,1.48E-05
38,100,empty,121768,0,,,,,,100,38,empty,50488,0
38,100,simple,106600,1.84E-04,,,,,,100,38,simple,45764,4.00E-05
38,100,complex,121908,9.06E-05,,,,,,100,38,complex,50488,1.42E-05
39,100,empty,121768,0,,,,,,100,39,empty,51484,0
39,100,simple,106600,6.76E-05,,,,,,100,39,simple,46220,4.09E-05
39,100,complex,121908,8.30E-05,,,,,,100,39,complex,51484,1.41E-05
40,100,empty,121840,0,,,,,,100,40,empty,51484,0
40,100,simple,106676,1.33E-04,,,,,,100,40,simple,46220,4.09E-05
40,100,complex,122012,9.23E-05,,,,,,100,40,complex,51484,1.49E-05
41,100,empty,121908,0,,,,,,100,41,empty,52432,0
41,100,simple,106676,5.55E-05,,,,,,100,41,simple,47168,4.20E-05
41,100,complex,122080,9.04E-05,,,,,,100,41,complex,52432,1.59E-05
42,100,empty,122004,0,,,,,,100,42,empty,54320,0
42,100,simple,106700,1.35E-04,,,,,,100,42,simple,49044,4.29E-05
42,100,complex,122176,9.31E-05,,,,,,100,42,complex,54320,1.79E-05
43,100,empty,122028,0,,,,,,100,43,empty,55332,0
43,100,simple,106700,5.84E-05,,,,,,100,43,simple,50056,4.40E-05
43,100,complex,122212,9.09E-05,,,,,,100,43,complex,55332,1.68E-05
44,100,empty,122052,0,,,,,,100,44,empty,56276,0
44,100,simple,106740,1.49E-04,,,,,,100,44,simple,51000,4.48E-05
44,100,complex,122064,1.02E-04,,,,,,100,44,complex,56276,1.44E-04
45,100,empty,122060,0,,,,,,100,45,empty,58244,0
45,100,simple,106740,5.98E-05,,,,,,100,45,simple,52932,4.61E-05
45,100,complex,122072,9.91E-05,,,,,,100,45,complex,58244,1.82E-05
46,100,empty,122068,0,,,,,,100,46,empty,60164,0
46,100,simple,106740,1.72E-04,,,,,,100,46,simple,54812,4.75E-05
46,100,complex,122080,9.43E-05,,,,,,100,46,complex,60164,1.74E-05
47,100,empty,122144,0,,,,,,100,47,empty,62120,0
47,100,simple,106740,6.32E-05,,,,,,100,47,simple,56396,5.17E-05
47,100,complex,122232,1.00E-04,,,,,,100,47,complex,62120,1.73E-05
48,100,empty,122144,0,,,,,,100,48,empty,63080,0
48,100,simple,106740,1.86E-04,,,,,,100,48,simple,56542,4.94E-05
48,100,complex,122232,9.48E-05,,,,,,100,48,complex,63080,1.73E-05
49,100,empty,122176,0,,,,,,100,49,empty,65036,0
49,100,simple,106740,7.02E-05,,,,,,100,49,simple,58478,4.98E-05
49,100,complex,122284,1.03E-04,,,,,,100,49,complex,65036,1.66E-05
50,100,empty,122204,0,,,,,,100,50,empty,66020,0
50,100,simple,106740,5.65E-05,,,,,,100,50,simple,58440,5.20E-05
50,100,complex,122312,1.02E-04,,,,,,100,50,complex,66020,1.72E-05
51,100,empty,122220,0,,,,,,100,51,empty,67020,0
51,100,simple,106740,5.74E-05,,,,,,100,51,simple,59348,5.15E-05
51,100,complex,122288,1.04E-04,,,,,,100,51,complex,67020,1.78E-05
52,100,empty,122220,0,,,,,,100,52,empty,67984,0
52,100,simple,106672,5.79E-05,,,,,,100,52,simple,60312,5.28E-05
52,100,complex,122288,1.05E-04,,,,,,100,52,complex,67984,1.76E-05
53,100,empty,122280,0,,,,,,100,53,empty,68904,0
53,100,simple,106748,5.95E-05,,,,,,100,53,simple,60792,5.44E-05
53,100,complex,122460,1.05E-04,,,,,,100,53,complex,68904,1.78E-05
54,100,empty,122300,0,,,,,,100,54,empty,70940,0
54,100,simple,106748,6.23E-05,,,,,,100,54,simple,63112,5.63E-05
54,100,complex,122480,1.08E-04,,,,,,100,54,complex,70940,1.69E-05
55,100,empty,122360,0,,,,,,100,55,empty,71900,0
55,100,simple,107472,6.34E-05,,,,,,100,55,simple,64072,5.69E-05
55,100,complex,122584,1.12E-04,,,,,,100,55,complex,71900,1.76E-05
56,100,empty,122396,0,,,,,,100,56,empty,73872,0
56,100,simple,107472,6.15E-05,,,,,,100,56,simple,65464,5.86E-05
56,100,complex,122620,1.12E-04,,,,,,100,56,complex,73872,1.78E-05
57,100,empty,122440,0,,,,,,100,57,empty,74840,0
57,100,simple,107484,6.26E-05,,,,,,100,57,simple,66432,5.87E-05
57,100,complex,122636,1.07E-04,,,,,,100,57,complex,74840,1.33E-04
58,100,empty,122440,0,,,,,,100,58,empty,75732,0
58,100,simple,107484,6.34E-05,,,,,,100,58,simple,66908,5.96E-05
58,100,complex,122636,1.15E-04,,,,,,100,58,complex,75732,2.12E-05
59,100,empty,122488,0,,,,,,100,59,empty,77764,0
59,100,simple,107484,6.75E-05,,,,,,100,59,simple,68660,6.55E-05
59,100,complex,122684,1.17E-04,,,,,,100,59,complex,77764,2.00E-05
60,100,empty,122488,0,,,,,,100,60,empty,78768,0
60,100,simple,107484,6.56E-05,,,,,,100,60,simple,69664,6.18E-05
60,100,complex,122684,1.15E-04,,,,,,100,60,complex,78768,1.99E-05
61,100,empty,122540,0,,,,,,100,61,empty,79748,0
61,100,simple,107484,6.52E-05,,,,,,100,61,simple,70644,6.22E-05
61,100,complex,122720,1.11E-04,,,,,,100,61,complex,79748,1.91E-05
62,100,empty,122540,0,,,,,,100,62,empty,81696,0
62,100,simple,107484,6.66E-05,,,,,,100,62,simple,73436,6.35E-05
62,100,complex,122720,1.22E-04,,,,,,100,62,complex,81696,1.90E-05
63,100,empty,122568,0,,,,,,100,63,empty,82676,0
63,100,simple,107484,6.69E-05,,,,,,100,63,simple,74068,6.55E-05
63,100,complex,122748,1.13E-04,,,,,,100,63,complex,82676,1.92E-05
64,100,empty,122568,0,,,,,,100,64,empty,83592,0
64,100,simple,107484,7.16E-05,,,,,,100,64,simple,74984,7.14E-05
64,100,complex,122748,1.24E-04,,,,,,100,64,complex,83592,2.19E-05
65,100,empty,122568,0,,,,,,100,65,empty,84596,0
65,100,simple,107484,6.99E-05,,,,,,100,65,simple,74928,6.63E-05
65,100,complex,122748,1.20E-04,,,,,,100,65,complex,84596,2.26E-05
66,100,empty,122692,0,,,,,,100,66,empty,85500,0
66,100,simple,107640,6.91E-05,,,,,,100,66,simple,75328,6.78E-05
66,100,complex,122796,1.24E-04,,,,,,100,66,complex,85500,2.29E-05
67,100,empty,122692,0,,,,,,100,67,empty,86500,0
67,100,simple,107640,7.23E-05,,,,,,100,67,simple,76320,6.87E-05
67,100,complex,122796,1.18E-04,,,,,,100,67,complex,86500,1.01E-04
68,100,empty,122704,0,,,,,,100,68,empty,87480,0
68,100,simple,107676,7.30E-05,,,,,,100,68,simple,77284,1.16E-04
68,100,complex,122808,1.28E-04,,,,,,100,68,complex,87480,2.21E-05
69,100,empty,122772,0,,,,,,100,69,empty,88472,0
69,100,simple,107676,7.33E-05,,,,,,100,69,simple,78212,7.77E-05
69,100,complex,122876,1.27E-04,,,,,,100,69,complex,88472,2.27E-05
