Opcio,Steps,stiter,k,lamb,profits,execution time
1,2000,51,21,1.0E-7,87162,0.081
1,2000,51,21,1.0E-6,85434,0.084
1,2000,51,21,9.999999999999999E-6,53448,0.081
1,2000,51,21,9.999999999999999E-5,86244,0.082
1,2000,51,21,0.001,81452,0.084
1,2000,101,1,1.0E-7,84346,0.097
1,2000,101,1,1.0E-6,84964,0.084
1,2000,101,1,9.999999999999999E-6,70862,0.082
1,2000,101,1,9.999999999999999E-5,84950,0.084
1,2000,101,1,0.001,83550,0.083
1,2000,101,11,1.0E-7,86676,0.079
1,2000,101,11,1.0E-6,86334,0.08
1,2000,101,11,9.999999999999999E-6,86192,0.082
1,2000,101,11,9.999999999999999E-5,79156,0.081
1,2000,101,11,0.001,77188,0.078
1,2000,101,21,1.0E-7,84662,0.084
1,2000,101,21,1.0E-6,87308,0.083
1,2000,101,21,9.999999999999999E-6,85934,0.085
1,2000,101,21,9.999999999999999E-5,86148,0.088
1,2000,101,21,0.001,85592,0.083
1,2000,151,1,1.0E-7,84516,0.083
1,2000,151,1,1.0E-6,86152,0.081
1,2000,151,1,9.999999999999999E-6,85428,0.092
1,2000,151,1,9.999999999999999E-5,85142,0.09
1,2000,151,1,0.001,85384,0.077
1,2000,151,11,1.0E-7,80022,0.086
1,2000,151,11,1.0E-6,86032,0.081
1,2000,151,11,9.999999999999999E-6,83898,0.083
1,2000,151,11,9.999999999999999E-5,83586,0.083
1,2000,151,11,0.001,77418,0.082
1,2000,151,21,1.0E-7,80374,0.083
1,2000,151,21,1.0E-6,85058,0.085
1,2000,151,21,9.999999999999999E-6,86038,0.089
1,2000,151,21,9.999999999999999E-5,80862,0.082
1,2000,151,21,0.001,80908,0.084
1,2000,201,1,1.0E-7,82236,0.086
1,2000,201,1,1.0E-6,80296,0.082
1,2000,201,1,9.999999999999999E-6,81024,0.081
1,2000,201,1,9.999999999999999E-5,82388,0.085
1,2000,201,1,0.001,82638,0.085
1,2000,201,11,1.0E-7,84328,0.085
1,2000,201,11,1.0E-6,86220,0.084
1,2000,201,11,9.999999999999999E-6,83620,0.082
1,2000,201,11,9.999999999999999E-5,81764,0.083
1,2000,201,11,0.001,74268,0.086
1,2000,201,21,1.0E-7,85564,0.083
1,2000,201,21,1.0E-6,77096,0.081
1,2000,201,21,9.999999999999999E-6,78080,0.083
1,2000,201,21,9.999999999999999E-5,82360,0.086
1,2000,201,21,0.001,82212,0.083
1,2000,251,1,1.0E-7,78030,0.084
1,2000,251,1,1.0E-6,80726,0.085
1,2000,251,1,9.999999999999999E-6,84350,0.082
1,2000,251,1,9.999999999999999E-5,83784,0.088
1,2000,251,1,0.001,85572,0.082
1,2000,251,11,1.0E-7,75942,0.083
1,2000,251,11,1.0E-6,82928,0.083
1,2000,251,11,9.999999999999999E-6,78614,0.088
1,2000,251,11,9.999999999999999E-5,84742,0.084
1,2000,251,11,0.001,82804,0.081
1,2000,251,21,1.0E-7,85406,0.085
1,2000,251,21,1.0E-6,78664,0.08
1,2000,251,21,9.999999999999999E-6,76514,0.083
1,2000,251,21,9.999999999999999E-5,83322,0.08
1,2000,251,21,0.001,83956,0.085
1,3000,1,1,1.0E-7,81216,0.138
1,3000,1,1,1.0E-6,76854,0.132
1,3000,1,1,9.999999999999999E-6,83234,0.128
1,3000,1,1,9.999999999999999E-5,85214,0.13
1,3000,1,1,0.001,83964,0.129
1,3000,1,11,1.0E-7,81916,0.13
1,3000,1,11,1.0E-6,81928,0.13
1,3000,1,11,9.999999999999999E-6,79900,0.141
1,3000,1,11,9.999999999999999E-5,80200,0.135
1,3000,1,11,0.001,78808,0.129
1,3000,1,21,1.0E-7,85448,0.138
1,3000,1,21,1.0E-6,83950,0.13
1,3000,1,21,9.999999999999999E-6,83258,0.134
1,3000,1,21,9.999999999999999E-5,85740,0.138
1,3000,1,21,0.001,81260,0.138
1,3000,51,1,1.0E-7,82202,0.136
1,3000,51,1,1.0E-6,86424,0.134
1,3000,51,1,9.999999999999999E-6,80066,0.127
1,3000,51,1,9.999999999999999E-5,79270,0.134
1,3000,51,1,0.001,79068,0.128
1,3000,51,11,1.0E-7,81750,0.133
1,3000,51,11,1.0E-6,82024,0.129
