Number of centers,Number of gas stations,Initial solution type,profits,execution time OF THE INITIAL STATE CREATION
29,100,complex,123778,7.13E-5
30,100,empty,123850,0.0
30,100,simple,112256,1.346E-4
30,100,complex,123766,6.24E-5
31,100,empty,123908,0.0
31,100,simple,112214,1.311E-4
31,100,complex,123746,7.48E-5
32,100,empty,123912,0.0
32,100,simple,112322,1.45E-4
32,100,complex,123806,7.67E-5
33,100,empty,123966,0.0
33,100,simple,112396,1.476E-4
33,100,complex,123828,6.85E-5
34,100,empty,124074,0.0
34,100,simple,112610,1.709E-4
34,100,complex,124132,8.44E-5
35,100,empty,124066,0.0
35,100,simple,112662,1.718E-4
35,100,complex,124148,6.34E-5
36,100,empty,124098,0.0
36,100,simple,112780,1.675E-4
36,100,complex,124192,1.235E-4
37,100,empty,124190,0.0
37,100,simple,112990,1.992E-4
37,100,complex,124212,9.98E-5
38,100,empty,124244,0.0
38,100,simple,113084,2.253E-4
38,100,complex,124252,7.95E-5
39,100,empty,124264,0.0
39,100,simple,113220,2.718E-4
39,100,complex,124242,7.51E-5
40,100,empty,124294,0.0
40,100,simple,113224,1.745E-4
40,100,complex,124256,8.19E-5
41,100,empty,124326,0.0
41,100,simple,113398,6.11E-5
41,100,complex,124280,7.94E-5
42,100,empty,124336,0.0
42,100,simple,113466,7.19E-5
42,100,complex,124314,8.26E-5
43,100,empty,124348,0.0
43,100,simple,113498,6.82E-5
43,100,complex,124336,8.27E-5
44,100,empty,124356,0.0
44,100,simple,113144,1.064E-4
44,100,complex,124394,7.12E-5
45,100,empty,124398,0.0
45,100,simple,113196,6.68E-5
45,100,complex,124414,6.99E-5
46,100,empty,124398,0.0
46,100,simple,113862,5.87E-5
46,100,complex,124414,7.16E-5
47,100,empty,124378,0.0
47,100,simple,113802,6.11E-5
47,100,complex,124394,1.124E-4
48,100,empty,124394,0.0
48,100,simple,113810,7.47E-5
48,100,complex,124386,8.53E-5
49,100,empty,124388,0.0
49,100,simple,113826,1.42E-4
49,100,complex,124402,9.29E-5
50,100,empty,124454,0.0
50,100,simple,114020,1.561E-4
50,100,complex,124434,8.94E-5
51,100,empty,124460,0.0
51,100,simple,114048,2.368E-4
51,100,complex,124462,7.13E-5
52,100,empty,124456,0.0
52,100,simple,114048,7.03E-5
52,100,complex,124450,1.251E-4
53,100,empty,124488,0.0
53,100,simple,114068,4.74E-5
53,100,complex,124424,7.83E-5
54,100,empty,124498,0.0
54,100,simple,114068,6.54E-5
54,100,complex,124426,7.44E-5
55,100,empty,124458,0.0
55,100,simple,114216,5.04E-5
55,100,complex,124436,7.74E-5
56,100,empty,124472,0.0
56,100,simple,114228,6.38E-5
56,100,complex,124460,8.4E-5
57,100,empty,124476,0.0
57,100,simple,114232,8.33E-5
57,100,complex,124464,9.15E-5
58,100,empty,124474,0.0
58,100,simple,114474,5.25E-5
58,100,complex,124498,8.75E-5
59,100,empty,124490,0.0
59,100,simple,114474,5.22E-5
59,100,complex,124514,1.334E-4
60,100,empty,124506,0.0
60,100,simple,114474,6.96E-5
60,100,complex,124498,8.31E-5
61,100,empty,124506,0.0
61,100,simple,114474,6.98E-5
61,100,complex,124498,8.98E-5
62,100,empty,124506,0.0
62,100,simple,114474,5.86E-5
62,100,complex,124498,1.076E-4
63,100,empty,124514,0.0
63,100,simple,114474,5.66E-5
63,100,complex,124504,9.47E-5
64,100,empty,124522,0.0
64,100,simple,114642,7.51E-5
64,100,complex,124512,1.057E-4
65,100,empty,124522,0.0
65,100,simple,114642,1.265E-4
65,100,complex,124512,1.045E-4
66,100,empty,124530,0.0
66,100,simple,114706,5.72E-5
66,100,complex,124520,1.061E-4
67,100,empty,124530,0.0
67,100,simple,114706,7.41E-5
67,100,complex,124520,8.93E-5
68,100,empty,124554,0.0
68,100,simple,115028,7.38E-5
68,100,complex,124544,1.708E-4
69,100,empty,124566,0.0
69,100,simple,115028,6.28E-5
69,100,complex,124556,1.001E-4
70,100,empty,124570,0.0
70,100,simple,115028,6.29E-5
70,100,complex,124560,1.101E-4
71,100,empty,124678,0.0
71,100,simple,115208,6.39E-5
71,100,complex,124668,1.033E-4
72,100,empty,124682,0.0
72,100,simple,115208,7.54E-5
72,100,complex,124672,1.49E-4
73,100,empty,124704,0.0
73,100,simple,115432,6.11E-5
73,100,complex,124694,1.302E-4
74,100,empty,124708,0.0
74,100,simple,115432,7.89E-5
74,100,complex,124698,1.119E-4
75,100,empty,124718,0.0
75,100,simple,115610,7.61E-5
75,100,complex,124734,2.752E-4
76,100,empty,124758,0.0
76,100,simple,115750,8.4E-5
76,100,complex,124764,1.071E-4
77,100,empty,124766,0.0
77,100,simple,115758,1.032E-4
77,100,complex,124772,1.971E-4
78,100,empty,124766,0.0
78,100,simple,115758,8.14E-5
78,100,complex,124772,1.12E-4
79,100,empty,124776,0.0
79,100,simple,115762,8.3E-5
79,100,complex,124776,1.158E-4
80,100,empty,124776,0.0
80,100,simple,115762,8.03E-5
80,100,complex,124776,1.122E-4
81,100,empty,124786,0.0
81,100,simple,115762,8.5E-5
81,100,complex,124784,1.21E-4
82,100,empty,124772,0.0
82,100,simple,115794,8.97E-5
82,100,complex,124770,1.22E-4
83,100,empty,124780,0.0
83,100,simple,115798,8.78E-5
83,100,complex,124778,1.263E-4
84,100,empty,124780,0.0
84,100,simple,115802,8.55E-5
84,100,complex,124778,2.156E-4
85,100,empty,124780,0.0
85,100,simple,115802,1.208E-4
85,100,complex,124778,1.515E-4
86,100,empty,124784,0.0
86,100,simple,115802,1.069E-4
86,100,complex,124782,1.752E-4
87,100,empty,124794,0.0
87,100,simple,115802,7.52E-5
87,100,complex,124792,1.204E-4
88,100,empty,124794,0.0
88,100,simple,116286,7.4E-5
88,100,complex,124792,1.173E-4
89,100,empty,124814,0.0
89,100,simple,116016,9.01E-5
89,100,complex,124812,2.896E-4
90,100,empty,124818,0.0
90,100,simple,116764,9.21E-5
90,100,complex,124820,1.259E-4
91,100,empty,124818,0.0
91,100,simple,117284,9.2E-5
91,100,complex,124820,1.708E-4
92,100,empty,124822,0.0
92,100,simple,117284,9.62E-5
92,100,complex,124824,1.877E-4
93,100,empty,124822,0.0
93,100,simple,117280,9.4E-5
93,100,complex,124824,1.165E-4
94,100,empty,124840,0.0
94,100,simple,117284,1.397E-4
94,100,complex,124842,1.298E-4
95,100,empty,124840,0.0
95,100,simple,117284,8.36E-5
95,100,complex,124842,1.377E-4
96,100,empty,124856,0.0
96,100,simple,117292,1.636E-4
96,100,complex,124858,1.393E-4
97,100,empty,124872,0.0
97,100,simple,117292,8.98E-5
97,100,complex,124874,2.772E-4
98,100,empty,124880,0.0
98,100,simple,117300,9.64E-5
98,100,complex,124882,1.321E-4
99,100,empty,124884,0.0
99,100,simple,117316,9.57E-5
99,100,complex,124886,3.445E-4
100,100,empty,124878,0.0
100,100,simple,117486,9.63E-5
100,100,complex,124880,2.414E-4
100,2,empty,3000,0.0
100,2,simple,2996,2.9E-6
100,2,complex,3000,5.27E-5
100,3,empty,5040,0.0
100,3,simple,5036,3.7E-6
100,3,complex,5040,1.4E-6
100,4,empty,5040,0.0
100,4,simple,5036,6.0E-6
100,4,complex,5040,1.3E-6
100,5,empty,7080,0.0
100,5,simple,7072,5.6E-6
100,5,complex,7080,1.7E-6
100,6,empty,9120,0.0
100,6,simple,8658,7.1E-6
100,6,complex,9120,1.5E-6
100,7,empty,10080,0.0
100,7,simple,9618,4.17E-5
100,7,complex,10080,1.5E-6
100,8,empty,11100,0.0
100,8,simple,10638,2.28E-5
100,8,complex,11100,1.9E-6
100,9,empty,12060,0.0
100,9,simple,12052,9.1E-6
100,9,complex,12060,2.0E-6
100,10,empty,13080,0.0
100,10,simple,13072,1.01E-5
100,10,complex,13080,1.7E-6
100,11,empty,14040,0.0
100,11,simple,14032,1.42E-5
100,11,complex,14040,1.6E-6
100,12,empty,15000,0.0
100,12,simple,14992,1.15E-5
100,12,complex,15000,1.6E-6
100,13,empty,16880,0.0
100,13,simple,16868,1.25E-5
100,13,complex,16880,1.149E-4
100,14,empty,17900,0.0
100,14,simple,17888,3.7E-5
100,14,complex,17900,4.7E-6
100,15,empty,18920,0.0
100,15,simple,18908,1.4E-5
100,15,complex,18920,2.09E-5
100,16,empty,19940,0.0
100,16,simple,19928,3.62E-5
100,16,complex,19940,5.1E-6
100,17,empty,20860,0.0
100,17,simple,20848,3.22E-5
100,17,complex,20860,6.68E-5
100,18,empty,21780,0.0
100,18,simple,21768,4.13E-5
100,18,complex,21780,3.42E-5
100,19,empty,23740,0.0
100,19,simple,23728,4.12E-5
100,19,complex,23740,2.85E-5
100,20,empty,24660,0.0
100,20,simple,24648,4.0E-5
100,20,complex,24660,1.25E-5
100,21,empty,25680,0.0
100,21,simple,25668,4.21E-5
100,21,complex,25680,1.3E-5
100,22,empty,26700,0.0
100,22,simple,26688,4.21E-5
100,22,complex,26700,1.22E-5
100,23,empty,28680,0.0
100,23,simple,28436,4.15E-5
100,23,complex,28680,3.23E-5
100,24,empty,29660,0.0
100,24,simple,29416,2.22E-5
100,24,complex,29660,1.42E-5
